Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Dreta de lïEixample;305;7;3;3.800 _;Piso
Sant Gervasi - Galvany;135;3;2;1.905 _;Piso
Dreta de lïEixample;71;2;2;1.520 _;Piso
Vila de Gr…cia;45;;1;850 _;Piso
Putget - Farr¢;105;3;2;1.900 _;Piso
Sant Gervasi - Bonanova;70;2;1;850 _;Piso
Baix Guinard¢;54;2;1;860 _;Piso
Camp dïen Grassot - Gr…cia N.;61;2;2;1.050 _;Piso
Putget - Farr¢;130;3;2;2.800 _;µtico
Sant Gervasi - Galvany;110;2;2;1.800 _;Piso
Sant Gervasi - Galvany;190;4;3;4.200 _;Piso
Vall dïHebron;78;2;1;990 _;Piso
Sants;70;2;2;945 _;Piso
Can Bar¢;86;3;1;1.090 _;Piso
Sant Ramon - Maternitat;84;3;2;1.050 _;Apartamento
Vila de Gr…cia;80;4;1;1.000 _;Piso
Sarri…;80;2;1;1.300 _;Piso
Esquerra Alta de lïEixample;123;3;2;1.430 _;Piso
Diagonal Mar - La Mar Bella;108;3;2;1.500 _;Piso
Esquerra Baixa de lïEixample;70;3;1;1.000 _;Piso
Putget - Farr¢;230;6;3;2.950 _;Piso
Dreta de lïEixample;172;3;4;7.500 _;Apartamento
Pedralbes;120;4;2;1.300 _;Piso
Camp dïen Grassot - Gr…cia N.;75;2;1;1.000 _;Piso
Sarri…;110;3;2;1.650 _;Piso
Sant Gervasi - Bonanova;100;2;2;1.200 _;Piso
Sant Gervasi - Galvany;154;4;3;1.990 _;Piso
Dreta de lïEixample;50;;1;1.000 _;Piso
La Marina-Montju‹c;84;3;1;900 _;Piso
G•tic;104;;1;1.500 _;Piso
Dreta de lïEixample;75;;1;2.300 _;Casa
Putget - Farr¢;86;3;2;1.200 _;Piso
Dreta de lïEixample;67;2;2;1.850 _;Piso
Sant Gervasi - Galvany;151;3;2;2.100 _;Piso
Poble Sec;53;;1;740 _;Piso
Esquerra Alta de lïEixample;73;3;1;1.150 _;Piso
G•tic;94;2;2;1.200 _;Piso
Poblenou;65;2;1;990 _;Piso
Diagonal Mar - La Mar Bella;92;2;1;1.195 _;Apartamento
Fort Pienc;115;4;2;1.175 _;Piso
Esquerra Alta de lïEixample;125;3;2;1.400 _;Piso
Dreta de lïEixample;110;3;2;1.800 _;Piso
St. Pere - Sta. Caterina - El Born;116;3;2;1.500 _;Piso
Les Corts;75;3;2;1.100 _;D£plex
Sarri…;75;3;1;1.000 _;Piso
Dreta de lïEixample;90;3;1;1.100 _;Piso
La Bordeta;50;;1;890 _;Piso
Vila de Gr…cia;93;3;2;1.200 _;Piso
Sant Gervasi - Bonanova;650;5;6;12.000 _;Casa
G•tic;71;2;2;1.250 _;Piso
La Bordeta;71;2;1;1.060 _;Piso
