Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Dreta de l«Eixample;305;7;3;3.800 Û;Piso
Sant Gervasi - Galvany;135;3;2;1.905 Û;Piso
Dreta de l«Eixample;71;2;2;1.520 Û;Piso
Vila de Grˆcia;45;;1;850 Û;Piso
Putget - Farr—;105;3;2;1.900 Û;Piso
Sant Gervasi - Bonanova;70;2;1;850 Û;Piso
Baix Guinard—;54;2;1;860 Û;Piso
Camp d«en Grassot - Grˆcia N.;61;2;2;1.050 Û;Piso
Putget - Farr—;130;3;2;2.800 Û;çtico
Sant Gervasi - Galvany;110;2;2;1.800 Û;Piso
Sant Gervasi - Galvany;190;4;3;4.200 Û;Piso
Vall d«Hebron;78;2;1;990 Û;Piso
Sants;70;2;2;945 Û;Piso
Can Bar—;86;3;1;1.090 Û;Piso
Sant Ramon - Maternitat;84;3;2;1.050 Û;Apartamento
Vila de Grˆcia;80;4;1;1.000 Û;Piso
Sarriˆ;80;2;1;1.300 Û;Piso
Esquerra Alta de l«Eixample;123;3;2;1.430 Û;Piso
Diagonal Mar - La Mar Bella;108;3;2;1.500 Û;Piso
Esquerra Baixa de l«Eixample;70;3;1;1.000 Û;Piso
Putget - Farr—;230;6;3;2.950 Û;Piso
Dreta de l«Eixample;172;3;4;7.500 Û;Apartamento
Pedralbes;120;4;2;1.300 Û;Piso
Camp d«en Grassot - Grˆcia N.;75;2;1;1.000 Û;Piso
Sarriˆ;110;3;2;1.650 Û;Piso
Sant Gervasi - Bonanova;100;2;2;1.200 Û;Piso
Sant Gervasi - Galvany;154;4;3;1.990 Û;Piso
Dreta de l«Eixample;50;;1;1.000 Û;Piso
La Marina-Montju•c;84;3;1;900 Û;Piso
G˜tic;104;;1;1.500 Û;Piso
Dreta de l«Eixample;75;;1;2.300 Û;Casa
Putget - Farr—;86;3;2;1.200 Û;Piso
Dreta de l«Eixample;67;2;2;1.850 Û;Piso
Sant Gervasi - Galvany;151;3;2;2.100 Û;Piso
Poble Sec;53;;1;740 Û;Piso
Esquerra Alta de l«Eixample;73;3;1;1.150 Û;Piso
G˜tic;94;2;2;1.200 Û;Piso
Poblenou;65;2;1;990 Û;Piso
Diagonal Mar - La Mar Bella;92;2;1;1.195 Û;Apartamento
Fort Pienc;115;4;2;1.175 Û;Piso
Esquerra Alta de l«Eixample;125;3;2;1.400 Û;Piso
Dreta de l«Eixample;110;3;2;1.800 Û;Piso
St. Pere - Sta. Caterina - El Born;116;3;2;1.500 Û;Piso
Les Corts;75;3;2;1.100 Û;Dœplex
Sarriˆ;75;3;1;1.000 Û;Piso
Dreta de l«Eixample;90;3;1;1.100 Û;Piso
La Bordeta;50;;1;890 Û;Piso
Vila de Grˆcia;93;3;2;1.200 Û;Piso
Sant Gervasi - Bonanova;650;5;6;12.000 Û;Casa
G˜tic;71;2;2;1.250 Û;Piso
La Bordeta;71;2;1;1.060 Û;Piso
El Clot;101;3;2;1.300 Û;Piso
Vila de Grˆcia;95;;1;1.190 Û;Piso
Esquerra Alta de l«Eixample;74;4;1;1.000 Û;Piso
Esquerra Alta de l«Eixample;170;3;1;1.200 Û;Piso
Badal;49;;2;690 Û;Apartamento
Sant Gervasi - Galvany;70;3;1;1.200 Û;Piso
Sant Gervasi - Galvany;152;5;2;1.950 Û;Piso
Sant Gervasi - Galvany;50;;1;1.075 Û;Loft
Sant Gervasi - Galvany;62;;1;1.025 Û;Piso
Esquerra Baixa de l«Eixample;129;4;2;1.650 Û;Piso
Sant Gervasi - Galvany;180;5;2;2.000 Û;Piso
Sant Gervasi - Galvany;105;3;2;1.780 Û;Piso
Sant Gervasi - Galvany;235;3;3;3.200 Û;Piso
Esquerra Alta de l«Eixample;100;3;2;1.050 Û;Piso
Dreta de l«Eixample;90;2;2;2.400 Û;Piso
G˜tic;154;2;2;2.000 Û;Piso
Esquerra Alta de l«Eixample;62;2;1;990 Û;çtico
Esquerra Alta de l«Eixample;115;3;2;1.325 Û;Piso
Les Corts;75;3;2;1.800 Û;Apartamento
Sant Gervasi - Galvany;190;4;3;2.600 Û;Piso
Dreta de l«Eixample;60;2;1;1.000 Û;Piso
Sant Gervasi - Bonanova;300;5;4;8.500 Û;Piso
Sant Gervasi - Galvany;70;3;1;950 Û;Piso
G˜tic;100;2;2;1.595 Û;Piso
Esquerra Alta de l«Eixample;85;2;2;1.100 Û;Piso
Les Corts;83;2;2;1.200 Û;Planta
Vila de Grˆcia;34;;1;800 Û;Loft
Camp d«en Grassot - Grˆcia N.;85;3;2;900 Û;Piso
Putget - Farr—;40;;1;700 Û;Piso
Guinard—;65;3;2;940 Û;Piso
Sant Gervasi - Galvany;158;3;2;3.900 Û;çtico
Fort Pienc;50;;1;920 Û;Apartamento
G˜tic;95;2;2;1.450 Û;Piso
Esquerra Baixa de l«Eixample;55;2;1;850 Û;Piso
Esquerra Baixa de l«Eixample;160;4;2;1.465 Û;Piso
Camp de l«Arpa;138;3;2;1.550 Û;Piso
Sant Ramon - Maternitat;105;4;2;1.350 Û;Piso
Sarriˆ;65;2;1;1.200 Û;Piso
Esquerra Baixa de l«Eixample;80;3;1;1.250 Û;Piso
Sants;67;2;1;950 Û;Piso
Dreta de l«Eixample;65;;1;2.100 Û;çtico
Dreta de l«Eixample;180;3;2;3.400 Û;Piso
St. Pere - Sta. Caterina - El Born;69;;1;850 Û;Loft
El Clot;100;3;2;1.500 Û;Casa
Sant Gervasi - Bonanova;170;4;3;2.300 Û;çtico
Camp de l«Arpa;50;2;1;800 Û;Piso
Baix Guinard—;80;3;1;900 Û;Piso
Dreta de l«Eixample;75;2;2;1.050 Û;Piso
Dreta de l«Eixample;110;4;2;2.090 Û;Piso
Sant Gervasi - Galvany;259;5;3;3.600 Û;Piso
St. Pere - Sta. Caterina - El Born;57;;1;790 Û;Apartamento
Esquerra Alta de l«Eixample;90;3;2;1.300 Û;Piso
Sant Gervasi - Bonanova;900;4;6;9.950 Û;Casa
Esquerra Alta de l«Eixample;66;2;1;925 Û;Piso
Dreta de l«Eixample;221;5;4;2.900 Û;Piso
Esquerra Alta de l«Eixample;53;;1;1.080 Û;Piso
Sants;129;4;1;1.400 Û;Piso
Sant Gervasi - Galvany;54;;1;1.542 Û;Piso
Dreta de l«Eixample;60;2;1;900 Û;Piso
Guinard—;262;4;4;2.700 Û;Casa
Sants;50;2;1;850 Û;çtico
Badal;155;3;2;1.400 Û;Dœplex
Vila de Grˆcia;60;2;1;950 Û;Piso
Vila Ol’mpica;135;4;3;1.550 Û;çtico
Vila de Grˆcia;53;2;1;850 Û;Piso
Dreta de l«Eixample;106;4;2;1.800 Û;Piso
G˜tic;120;2;2;1.800 Û;Dœplex
Esquerra Baixa de l«Eixample;115;;;1.995 Û;çtico
Dreta de l«Eixample;180;3;2;3.000 Û;Piso
Esquerra Alta de l«Eixample;85;3;1;1.250 Û;Piso
Sants;101;3;2;1.000 Û;Piso
Sant Andreu;59;3;1;687 Û;Piso
Esquerra Alta de l«Eixample;170;4;3;2.147 Û;Piso
Putget - Farr—;67;2;1;800 Û;Piso
G˜tic;61;;1;1.200 Û;Piso
Esquerra Alta de l«Eixample;66;;1;975 Û;Piso
Sant Gervasi - Bonanova;135;3;2;1.900 Û;Piso
Guinard—;262;4;4;2.700 Û;Torre
Navas;50;;1;800 Û;Piso
Esquerra Alta de l«Eixample;70;2;1;1.075 Û;Piso
Raval;47;;1;700 Û;Piso
St. Pere - Sta. Caterina - El Born;181;3;4;3.000 Û;Piso
St. Pere - Sta. Caterina - El Born;76;2;1;975 Û;Piso
Navas;102;3;2;1.100 Û;Piso
Dreta de l«Eixample;100;2;2;2.300 Û;Piso
G˜tic;70;3;1;905 Û;Piso
Guinard—;70;2;1;890 Û;Piso
Sant Gervasi - Bonanova;200;4;3;3.500 Û;Apartamento
Esquerra Alta de l«Eixample;150;3;2;1.550 Û;Apartamento
Sarriˆ;57;;1;1.529 Û;Piso
Poble Sec;50;;1;700 Û;Piso
Guinard—;90;3;1;790 Û;Piso
Diagonal Mar - La Mar Bella;45;;2;1.100 Û;Apartamento
G˜tic;88;3;2;1.200 Û;Piso
St. Pere - Sta. Caterina - El Born;60;;1;1.090 Û;Dœplex
G˜tic;95;3;2;1.123 Û;Piso
Esquerra Baixa de l«Eixample;98;4;1;1.250 Û;Piso
Tres Torres;150;3;2;2.950 Û;Piso
Sagrada Fam’lia;54;;1;1.050 Û;Piso
Bes˜s - Maresme;117;3;2;2.000 Û;Piso
Sarriˆ;124;4;2;3.651 Û;Piso
Barceloneta;86;2;2;1.225 Û;Piso
Raval;130;4;2;1.700 Û;Piso
St. Pere - Sta. Caterina - El Born;181;3;4;3.000 Û;Piso
Sant Mart’;58;3;1;925 Û;Piso
St. Pere - Sta. Caterina - El Born;80;2;2;1.150 Û;Piso
Camp d«en Grassot - Grˆcia N.;116;3;3;2.333 Û;Piso
Dreta de l«Eixample;172;5;2;2.300 Û;Piso
Dreta de l«Eixample;70;2;1;1.600 Û;Piso
Sagrada Fam’lia;65;2;1;950 Û;Piso
Camp d«en Grassot - Grˆcia N.;68;3;1;1.400 Û;Piso
Sant Gervasi - Galvany;280;5;4;5.500 Û;çtico
G˜tic;120;4;2;1.150 Û;Piso
La Marina-Montju•c;100;3;2;1.390 Û;Piso
St. Pere - Sta. Caterina - El Born;64;2;1;800 Û;Piso
St. Pere - Sta. Caterina - El Born;39;;1;625 Û;Piso
Vallcarca - Penitents;69;2;2;1.200 Û;Piso
Barceloneta;47;2;1;750 Û;Piso
Sant Gervasi - Galvany;336;5;6;8.500 Û;çtico
Sant Gervasi - Galvany;247;4;3;3.250 Û;Piso
Sant Gervasi - Galvany;253;5;4;3.550 Û;Piso
Putget - Farr—;134;4;1;1.200 Û;Piso
Les Corts;30;;1;690 Û;Estudio
Guinard—;60;2;1;725 Û;Piso
G˜tic;60;;2;900 Û;Piso
Pedralbes;140;4;2;2.700 Û;Apartamento
Esquerra Alta de l«Eixample;120;3;2;1.300 Û;çtico
Sarriˆ;340;4;3;9.500 Û;Casa
Esquerra Alta de l«Eixample;67;2;1;950 Û;Piso
Horta;76;2;1;900 Û;Piso
Putget - Farr—;177;5;3;1.900 Û;Piso
Vila de Grˆcia;85;2;2;1.000 Û;Piso
Raval;40;;2;700 Û;Piso
Esquerra Baixa de l«Eixample;50;;1;800 Û;Piso
La Salut;98;3;2;1.200 Û;Piso
Vila de Grˆcia;40;;1;800 Û;Piso
Sant Ramon - Maternitat;120;4;2;1.800 Û;Piso
Sant Ramon - Maternitat;120;4;2;1.600 Û;Piso
Sant Gervasi - Galvany;120;4;2;1.850 Û;Piso
Vila de Grˆcia;32;;1;700 Û;Apartamento
